playerId,season,name,teamAbbr,position,situation,games_played,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,I_F_xGoals,I_F_points,I_F_goals,penalties,I_F_penaltyMinutes,I_F_hits,I_F_takeaways,I_F_giveaways,faceoffsWon,faceoffsLost,penaltyMinutes
8476474,2022,Stefan Noesen,CAR,R,all,43,31459.0,697.0,31.97,0.7,0.53,0.69,0.56,0.7,0.55,11.88,22.0,8.0,8.0,19.0,58.0,16.0,15.0,21.0,16.0,19.0
8480950,2022,Ilya Lyubushkin,BUF,D,all,31,26559.0,683.0,6.2,0.41,0.5,0.43,0.54,0.43,0.52,0.41,8.0,0.0,16.0,32.0,55.0,10.0,7.0,0.0,0.0,32.0
8480185,2022,Eetu Luostarinen,FLA,C,all,48,44825.0,1025.0,25.86,0.48,0.54,0.48,0.55,0.48,0.54,9.17,21.0,10.0,7.0,18.0,40.0,29.0,26.0,58.0,74.0,18.0
8474157,2022,Max Pacioretty,CAR,L,all,5,4093.0,82.0,5.35,0.54,0.61,0.71,0.62,0.71,0.62,2.56,3.0,3.0,1.0,2.0,4.0,1.0,2.0,0.0,0.0,2.0
8480003,2022,Jesper Boqvist,NJD,C,all,39,25181.0,584.0,9.68,0.47,0.55,0.48,0.54,0.48,0.54,4.65,8.0,5.0,0.0,0.0,22.0,8.0,12.0,47.0,91.0,0.0
8477464,2022,Nic Petan,MIN,C,all,8,5407.0,114.0,2.04,0.5,0.5,0.46,0.54,0.48,0.54,0.32,2.0,0.0,1.0,2.0,3.0,2.0,0.0,0.0,1.0,2.0
8480853,2022,Liam Foudy,CBJ,C,all,27,18411.0,403.0,-1.92,0.39,0.45,0.41,0.45,0.41,0.45,2.23,3.0,0.0,2.0,4.0,33.0,7.0,4.0,1.0,5.0,4.0
8478424,2022,Jansen Harkins,WPG,C,all,22,14282.0,338.0,7.4,0.62,0.48,0.54,0.48,0.55,0.49,2.3,5.0,3.0,5.0,12.0,16.0,7.0,8.0,2.0,7.0,12.0
8477952,2022,Robby Fabbri,DET,C,all,9,8731.0,170.0,2.52,0.54,0.47,0.48,0.52,0.47,0.52,2.28,4.0,3.0,2.0,4.0,16.0,2.0,2.0,8.0,6.0,4.0
8478104,2022,Sammy Blais,NYR,L,all,38,22103.0,468.0,4.67,0.44,0.51,0.47,0.54,0.47,0.55,2.41,5.0,0.0,4.0,8.0,113.0,3.0,12.0,1.0,4.0,8.0
8479362,2022,Riley Tufte,DAL,L,all,3,1432.0,33.0,-0.97,0.11,0.61,0.29,0.59,0.14,0.58,0.07,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0
8477392,2022,Hudson Fasching,NYI,R,all,19,14318.0,336.0,6.09,0.5,0.49,0.51,0.48,0.5,0.48,3.74,5.0,3.0,3.0,6.0,24.0,8.0,2.0,1.0,2.0,6.0
8475768,2022,Jaden Schwartz,SEA,C,all,40,42241.0,878.0,24.1,0.58,0.49,0.57,0.48,0.56,0.49,14.54,23.0,10.0,6.0,12.0,37.0,27.0,21.0,51.0,58.0,12.0
8480064,2022,Josh Norris,OTT,C,all,8,8634.0,204.0,5.11,0.51,0.51,0.55,0.51,0.54,0.5,2.66,3.0,2.0,3.0,6.0,7.0,6.0,3.0,33.0,24.0,6.0
8480069,2022,Cale Makar,COL,D,all,42,68435.0,1157.0,52.7,0.55,0.46,0.57,0.49,0.55,0.48,10.03,43.0,13.0,12.0,26.0,54.0,35.0,39.0,0.0,0.0,26.0
